Type, StartTime, SurvivorSize, UsedMemYGandOG, ResMemOGandSurvior, len
Young, 6667.007,769177,22694022,1717675,0.1404501
Young, 6670.224,664612,22820267,1613478,0.1224643
Young, 6673.355,629433,22716070,1578659,0.1194961
Young, 6676.515,641460,22681251,1591086,0.1210181
Young, 6679.665,667588,22693678,1617583,0.1234081
Young, 6682.784,684161,22720175,1634516,0.1276662
Young, 6685.887,694543,22737108,1645273,0.1288960
Young, 6688.948,728742,22747865,1679848,0.1339086
Young, 6692.072,778430,22782440,1729896,0.1417842
Young, 6695.207,754542,22832488,1706385,0.1374052
Young, 6698.330,710243,22808977,1662478,0.1310583
Young, 6701.449,635908,22765070,1588519,0.1191785
Young, 6704.570,671017,22691111,1623988,0.1251810
Young, 6707.673,669225,22726580,1622555,0.1239328
Young, 6710.764,700953,22725147,1654643,0.1294609
Young, 6713.905,677812,22757235,1631871,0.1254435
Young, 6716.945,727484,22734463,1681902,0.1347530
Young, 6719.994,735803,22784494,1690598,0.1360622
Young, 6723.206,662200,22793190,1617363,0.1255020
Young, 6726.212,822472,22719955,1778018,0.1487705
Young, 6729.339,646948,22880610,1602863,0.1208135
Young, 6732.615,620676,22705455,1576950,0.1164432
Young, 6735.737,628772,22679542,1585534,0.1184092
Young, 6738.732,744760,22688126,1701891,0.1357852
Young, 6741.778,735326,22804483,1692816,0.1348291
Young, 6744.841,758230,22795408,1716104,0.1392659
Young, 6747.919,769881,22818696,1728139,0.1427577
Young, 6751.021,819532,22830731,1778174,0.1491181
Young, 6754.185,803496,22880766,1762514,0.1466517
Young, 6757.314,717002,22865106,1676388,0.1332478
Young, 6760.377,738062,22778980,1697824,0.1346439
Young, 6763.472,744506,22800416,1704645,0.1369995
Young, 6766.595,785213,22807237,1745720,0.1445330
Young, 6769.704,720481,22848312,1681348,0.1334125
Young, 6772.797,775495,22783940,1736994,0.1425406
Young, 6775.936,768893,22839586,1730783,0.1401006
Young, 6779.090,749346,22833375,1711596,0.1379099
Young, 6782.183,796587,22814188,1759198,0.1464448
Young, 6785.289,814073,22861790,1777051,0.1480487
Young, 6788.361,690959,22879643,1654289,0.1288981
Young, 6791.405,691112,22756881,1654810,0.1292742
Young, 6794.467,845038,22757402,1809113,0.1502340
Young, 6797.590,704650,22911705,1669084,0.1304859
Young, 6800.694,734750,22771676,1699537,0.1357682
Young, 6803.758,720272,22802129,1685427,0.1332989
Young, 6806.871,726467,22788019,1692038,0.1333747
Young, 6809.957,747987,22794630,1714029,0.1366373
Young, 6813.063,759130,22816621,1725533,0.1395213
Young, 6816.181,756484,22828125,1723246,0.1395208
Young, 6819.339,753227,22825838,1720365,0.1379734
Young, 6822.396,688584,22822957,1656090,0.1291975
Young, 6825.485,740367,22758682,1708249,0.1361634
Young, 6828.511,698334,22810841,1666584,0.1295923
Young, 6831.618,732955,22769176,1701573,0.1367843
Young, 6834.725,727258,22804165,1696268,0.1400998
Young, 6837.800,709118,22798860,1678497,0.1309822
Young, 6840.869,736293,22781089,1706072,0.1351120
Young, 6843.967,747588,22808664,1717822,0.1392477
Young, 6847.055,752296,22820414,1722906,0.1382971
Young, 6850.160,754373,22825498,1725351,0.1377380
Young, 6853.238,728749,22827943,1700088,0.1340365
Young, 6856.312,761441,22802680,1733148,0.1408770
Young, 6859.402,706478,22835740,1678544,0.1312993
Young, 6862.519,742192,22781136,1714627,0.1368659
Young, 6865.607,753126,22817219,1725928,0.1394518
Young, 6868.715,734519,22828520,1707706,0.1348791
Young, 6871.801,754370,22810298,1727917,0.1390252
Young, 6874.876,781762,22830509,1755700,0.1433068
Young, 6877.972,813986,22858292,1788293,0.1504415
Young, 6881.074,735936,22890885,1710618,0.1381462
Young, 6884.173,726185,22813210,1701235,0.1343256
Young, 6887.234,791469,22803827,1766896,0.1443695
Young, 6890.322,762898,22869488,1738685,0.1391833
Young, 6893.408,721853,22841277,1698000,0.1328016
Young, 6896.530,797680,22800592,1774194,0.1450203
Young, 6899.601,787166,22876786,1764057,0.1432142
Young, 6902.632,711791,22866649,1689066,0.1328794
Young, 6905.658,719889,22791658,1697540,0.1338688
Young, 6908.737,748451,22800132,1726478,0.1390456
Young, 6911.783,856987,22829070,1835381,0.1536407
Young, 6914.858,737019,22937973,1715774,0.1357663
Young, 6917.898,724456,22818366,1703595,0.1341193
Young, 6921.006,721702,22806187,1701192,0.1335234
Young, 6924.093,758567,22803784,1738402,0.1396958
Young, 6927.176,783397,22840994,1763623,0.1442104
Young, 6930.274,763373,22866215,1743991,0.1410935
Young, 6933.368,787353,22846583,1768307,0.1427901
Young, 6936.496,787766,22870899,1769121,0.1434369
Young, 6939.638,731599,22871713,1713330,0.1341579
Young, 6942.718,748000,22815922,1730050,0.1370825
Young, 6945.799,714032,22832642,1696475,0.1312884
Young, 6948.871,744637,22799067,1727464,0.1369523
Young, 6951.986,820003,22830056,1803213,0.1481512
Young, 6955.044,711747,22905805,1695326,0.1317463
Young, 6958.158,758769,22797918,1742676,0.1377185
Young, 6961.158,913888,22845268,1898218,0.1617025
Young, 6964.233,904850,23000810,1889549,0.1610296
Young, 6967.363,783557,22992141,1768631,0.1439680
Young, 6970.445,727411,22871223,1712845,0.1349710
Young, 6973.496,778094,22815437,1763889,0.1432875
Young, 6976.570,723758,22866481,1709913,0.1340132
Young, 6979.645,796824,22812505,1783339,0.1472101
Young, 6982.749,756035,22885931,1742942,0.1382224
Young, 6985.895,798311,22845534,1785593,0.1458573
Young, 6988.967,744535,22888185,1732186,0.1363772
Young, 6991.977,757025,22834778,1745067,0.1393862
Young, 6994.989,867282,22847659,1855693,0.1558672
Young, 6998.172,740291,22958285,1729101,0.1361499
Young, 7001.269,769048,22831693,1758251,0.1397432
Young, 7004.277,818066,22860843,1807628,0.1480441
Young, 7007.331,704383,22910220,1694345,0.1303125
Young, 7010.358,766717,22796937,1757159,0.1402757
Young, 7013.422,816174,22859751,1807033,0.1482210
Young, 7016.526,800239,22909625,1791490,0.1457099
Young, 7019.628,727897,22894082,1719516,0.1338253
Young, 7022.755,769081,22822108,1761075,0.1408116
Young, 7025.791,790483,22863667,1782838,0.1471747
Young, 7028.827,814883,22885430,1807613,0.1486851
Young, 7031.907,754879,22910205,1747961,0.1372711
Young, 7034.989,750392,22850553,1743843,0.1380474
Young, 7038.104,780187,22846435,1774030,0.1431355
Young, 7041.190,779905,22876622,1774084,0.1430882
Young, 7044.281,718876,22876676,1713463,0.1319430
Young, 7047.364,698896,22816055,1693827,0.1297559
Young, 7050.428,783905,22796419,1779204,0.1434762
Young, 7053.569,755876,22881796,1751582,0.1378559
Young, 7056.610,849890,22854174,1845948,0.1469972
Young, 7059.640,772225,22948540,1768651,0.1426098
Young, 7062.651,785946,22871243,1782748,0.1429017
Young, 7065.695,767077,22885340,1764280,0.1407265
Young, 7068.743,790316,22866872,1787839,0.1437407
Young, 7071.753,963591,22890431,1961506,0.1708770
Young, 7074.860,946823,23064098,1945137,0.1672133
Young, 7078.072,788859,23047729,1787534,0.1444904
Young, 7081.179,846775,22890126,1845826,0.1522612
Young, 7084.222,750881,22948418,1750300,0.1383812
Young, 7087.277,818936,22852892,1818730,0.1478365
Young, 7090.339,829755,22921322,1829941,0.1518706
Young, 7093.409,761424,22932533,1761986,0.1388674
Young, 7096.470,766281,22864578,1767187,0.1402121
Young, 7099.603,750078,22869779,1751368,0.1379185
Young, 7102.738,859674,22853960,1861277,0.1551502
Young, 7105.800,875734,22963869,1877768,0.1545997
Young, 7108.859,790678,22980360,1793065,0.1449940
Young, 7111.958,776320,22895657,1779147,0.1421939
Young, 7115.042,722145,22881739,1725411,0.1354683
Young, 7118.154,803326,22828003,1807121,0.1454264
Young, 7121.227,737845,22909713,1742439,0.1353509
Young, 7124.251,799564,22845031,1804614,0.1449879
Young, 7127.330,818765,22907206,1824159,0.1492167
Young, 7130.452,890820,22926751,1896639,0.1597803
Young, 7133.607,738146,22999231,1744308,0.1350373
Young, 7136.647,784299,22846900,1790822,0.1421548
Young, 7139.765,771506,22893414,1778493,0.1406729
Young, 7142.875,771457,22881085,1778804,0.1411137
Young, 7145.927,827183,22881396,1834922,0.1492765
Young, 7149.094,789271,22937514,1797346,0.1443242
Young, 7152.138,747379,22899938,1755806,0.1365239
Young, 7155.206,722563,22858398,1731446,0.1345686
Young, 7158.267,735581,22834038,1744952,0.1345944
Young, 7161.349,767208,22847544,1776955,0.1416350
Young, 7164.480,704795,22879547,1714901,0.1319937
Young, 7167.538,806121,22817493,1816675,0.1472981
Young, 7170.619,754043,22919267,1764958,0.1401471
Young, 7173.631,742188,22867550,1753447,0.1367945
Young, 7176.694,878930,22856039,1890549,0.1526584
Young, 7179.815,699082,22993141,1711124,0.1293368
Young, 7182.891,757497,22813716,1770028,0.1399416
Young, 7185.949,733165,22872620,1746040,0.1353512
Young, 7189.082,751943,22848632,1765194,0.1390937
Young, 7192.153,798982,22867786,1812592,0.1452883
Young, 7195.225,812230,22915184,1826201,0.1474830
Young, 7198.293,758481,22928793,1772844,0.1412509
Young, 7201.306,721675,22875436,1736422,0.1328892
Young, 7204.389,739685,22839014,1754784,0.1367574
Young, 7207.446,786065,22857376,1801555,0.1434602
Young, 7210.541,743492,22904147,1759471,0.1364435
Young, 7213.578,732376,22862063,1748682,0.1343761
Young, 7216.607,781694,22851274,1798457,0.1497546
Young, 7219.755,783283,22901049,1800430,0.1548375
Young, 7222.863,846059,22903022,1863510,0.1526226
Young, 7225.920,819824,22966102,1837723,0.1495401
Young, 7228.976,787636,22940315,1806103,0.1454447
Young, 7232.059,746272,22908695,1765083,0.1380317
Young, 7235.115,755093,22867675,1774352,0.1389871
Young, 7238.243,827104,22876944,1846771,0.1516585
Young, 7241.360,804864,22949363,1825027,0.1467120
Young, 7244.416,780048,22927619,1800579,0.1438273
Young, 7247.516,718760,22903171,1739786,0.1321496
Young, 7250.565,730342,22842378,1751761,0.1369897
Young, 7253.613,790547,22854353,1812318,0.1437215
FULL,7256.554,0,1740640,228599,0.2260464,228599,22529
